pers,type,dt,count
Aaron,OT,1638,1
Aaron,OT,1653,1
Abel,OT,1609,1
Abel,OT,1637,1
Abel,OT,1641,1
Abel,OT,1643,1
Abigail,OT,1516,1
Abimelech,OT,1657,1
Abraham,OT,1549,1
Abraham,OT,1582,1
Abraham,OT,1594,1
Abraham,OT,1622,1
Abraham,OT,1627,1
Abraham,OT,1634,1
Abraham,OT,1646,2
Abraham Ortelius,person,1597,1
Absalom,OT,1491,1
Abundatia,---,1657,1
Achaemenides,---,1682,1
Achan,OT,1613,1
Achelous,---,1641,1
Achilles,---,1624,1
Achilles,---,1642,1
Achilles,---,1646,2
Achilles,---,1648,1
Achior,OT,1651,1
Acis,---,1585,1
Actaeon,---,1511,1
Actaeon,---,1643,1
Actaeon,---,1656,1
Actor,Prof,1656,1
Adah,OT,1665,1
Adam,OT,1583,1
Adam,OT,1585,3
Adam,OT,1589,1
Adam,OT,1597,1
Adam,OT,1637,1
Adam,OT,1642,1
Adam,OT,1643,2
Adam,OT,1650,1
Adam,OT,1651,1
Adam,OT,1672,1
Adam,OT,1673,1
Adonis,---,1608,1
Adonis,---,1635,1
Adonis,---,1643,1
Adonis,---,1648,1
Adonis,---,1656,1
Adonis,---,1660,1
Adoram,OT,1688,1
Aeacus,---,1635,1
Aegisthus,---,1585,1
Aeneas,NT,1565,1
Aeneas,NT,1585,1
Aeneas,NT,1590,1
Aeneas,NT,1600,1
Aeneas,NT,1608,1
Aeneas,NT,1619,1
Aeneas,NT,1620,1
Aeneas,NT,1644,1
Aeneas,NT,1648,2
Aeneas,NT,1667,1
Aeneas,NT,1672,1
Aeneas,NT,1682,1
Aeneas,NT,1683,1
Aeneas,NT,1692,1
Agamemnon,---,1585,1
Agamemnon,---,1646,1
Aglauros,---,1639,1
Aglauros,---,1651,1
Agrippa,NT,1504,1
Ahab,---,1636,1
Ahasuerus,OT,1591,1
Ahasuerus,OT,1649,1
Ahasuerus (Xerxes),---,1576,1
Ahasuerus (Xerxes),---,1621,1
Ahijah,OT,1585,1
Ahmed I,person,1623,1
Albrecht Dürer,person,1630,1
Alcmena,---,1585,1
Alexander,---,1570,1
Alexander,---,1585,1
Alexander,---,1695,1
Alexander,---,1734,1
Alexander the Great,OT,1585,1
Alexander the Great,OT,1642,1
Alexander the Great,OT,1695,1
Algerian woman,Woman,1635,1
Aman,OT,1573,1
Amata,---,1622,1
Amazons,---,1579,1
Amazons,---,1649,1
Amor (love),---,1686,1
Amos,OT,1586,1
Amphitryon,---,1585,1
Amymone,---,1585,1
Ananias,NT,1598,1
Anchises,---,1585,1
Anchises,---,1600,1
Anchises,---,1617,1
Anchises,---,1648,1
Anchises,---,1667,1
Anchises,---,1672,1
Anchises,---,1692,1
Andromache,---,1608,1
Angel,---,1585,1
Angel of the Annunciation,NT,1664,1
Angels,---,1695,1
Anius,---,1565,1
Anna,NT,1643,1
Anna,NT,1646,1
Anna,NT,1695,1
Annas,NT,1682,1
Anne of Austria,person,1589,1
Anne of England,person,1616,1
"Anthony Ashley Cooper, first Earl of Shaftesbury",person,1549,1
Anthony Shirley,person,1525,1
Antiope,---,1598,1
Antiope,---,1641,2
Antiphates,---,1672,1
Antonin Dreux d'Aubray,person,1589,1
Aphrodite,---,1663,1
Apollo,---,1585,1
Apollo,---,1589,2
Apollo,---,1605,1
Apollo,---,1611,1
Apollo,---,1627,1
Apollo,---,1636,1
Apollo,---,1638,1
Apollo,---,1642,2
Apollo,---,1643,3
Apollo,---,1645,1
Apollo,---,1648,1
Apollo,---,1650,2
Apollo,---,1652,1
Apollo,---,1658,1
Apollo,---,1665,1
Apollo,---,1683,1
Apollo,---,1691,1
Apollo,---,1727,1
Apostles,---,1518,1
Apostles,---,1552,1
Apostles,---,1588,1
Apostles,---,1597,1
Apostles,---,1647,1
Apostles,---,1650,1
Apulian shepherd,Prof,1551,1
Aquarius,---,1656,1
Arcas,---,1652,1
Archangel Gabriel,---,1622,1
Archangel Gabriel,---,1634,1
Archangel Raphael,---,1585,1
Argus,---,1640,1
Argus,---,1642,1
Argus,---,1644,1
Argus,---,1646,1
Argus,---,1655,1
Ariadne,---,1497,1
Ariadne,---,1641,1
Ariadne,---,1652,1
Arithmetic,Personification,1695,1
Arsames,person,1582,1
Artaxerxes III,person,1644,1
Artemis,---,1663,1
Ascanius,---,1648,1
Ascanius,---,1692,1
Asclepius,---,1638,1
Asclepius,---,1727,1
"Asher, Patriarch of Israel",---,1585,1
Assyrian army,Nation,1511,1
Assyrian army,Nation,1741,1
Assyrians,Nation,1604,1
Assyrians,Nation,1695,1
Astrology,Personification,1609,1
Atalanta,---,1585,1
Ataxerxes I,person,1641,1
Athaliah,OT,1602,1
Athena,---,1589,1
Athena,---,1608,1
Athena,---,1625,1
Athena,---,1645,1
Athena,---,1646,1
Athena,---,1651,1
Athena,---,1663,1
Athena,---,1667,1
Atlas,---,1616,1
Atlas,---,1650,1
Augustin Wichmann,person,1646,1
Augustus,NT,1639,1
Aunus,---,1579,1
Aurora,---,1585,1
Autumn,Personification,1641,1
Avarita,---,1594,1
Baal,---,1586,1
Baal,---,1620,1
Babylonian soldiers,Prof,1707,1
Bacchus,---,1497,1
Bacchus,---,1639,1
Bacchus,---,1640,3
Bacchus,---,1641,2
Bacchus,---,1643,1
Bacchus,---,1645,1
Bacchus,---,1646,1
Bacchus,---,1657,1
Bacchus,---,1676,1
Baccio Bandinelli,person,1585,1
Balaam,OT,1688,1
"Balak, the King of Moab",OT,1688,1
Baligni's garrison,---,1635,1
Baptist,---,1580,1
Baptist,---,1608,1
Baptist,---,1632,1
Baptist,---,1641,2
Baptist,---,1662,1
Baptist,---,1692,1
Barak,OT,1688,1
Barnabas,---,1634,1
Bartholomeus Spranger,person,1586,1
Basket weaver,Prof,1586,1
Bathsheba,OT,1660,1
Battus,---,1683,1
Baur,person,1656,1
Bellows maker,Prof,1555,1
Benedetto Varchi,person,1656,1
Benedictine monk,Prof,1650,2
Bildad,OT,1619,1
Black King,person,1728,1
Black king,---,1610,1
